entity	label	definition	synonyms
DOID_0050052	Rocky Mountain spotted fever	A spotted fever that has_material_basis_in Rickettsia rickettsii, which is transmitted_by ticks (Dermacentor variabilis and Dermacentor andersoni). The infection has_symptom fever, has_symptom headache, has_symptom abdominal pain, and has_symptom maculopapular rash progressing into papular or petechial rash.	Tick typhus; Brazilian spotted; Choix; Exanthematic typhus of Sao Paulo; Fiebre maculosa; Fiebre manchada; Sao Paulo typhus; So Paulo fever; Tobia fever
DOID_0050059	oropharyngeal anthrax	A gastrointestinal anthrax that results in infection located in mucosa of oropharynx, has_material_basis_in Bacillus anthracis, which is transmitted by ingestion of anthrax-infected meat. The infection has symptom lesions, has symptom vomiting of blood, has symptom severe diarrhea, has symptom loss of appetite.	
DOID_0050061	erysipeloid	A primary bacterial infectious disease that results_in infection located_in skin, has_material_basis_in Erysipelothrix rhusiopathiae, which is transmitted_by contact with infected animals. The infection has_symptom redness of skin, has_symptom tenderness of skin and has_symptom warmth of skin.	
DOID_0050072	adiaspiromycosis	A primary systemic mycosis that is a fungal infection located_in lungs, or located_in skin, which results_in disseminated granulomatous pulmonary process and cutaneous infection in rodents, small wild mammals and humans, has_material_basis_in Chrysosporium parvum or Emmonsia crescens.	
DOID_0050073	invasive aspergillosis	An aspergillosis that is a serious fungal infection of the lung with pneumonia caused by Aspergillus, which spreads to other parts of the body through bloodstream in patients with acute leukemia and recipients of tissue transplants. Clinical symptoms include pulmonary nodules and hemorrhage.	
DOID_0050083	Keshan disease	A nutritional deficiency that is disease characterized by a cardiomyopathy secondary to selenium deficiency.	
DOID_0050096	tinea barbae	A dermatophytosis that results_in fungal infection which effects horny layer of epidermis of the bearded areas located_in face or located_in neck, has_material_basis_in Trichophyton mentagrophytes or has_material_basis_in Trichophyton verrucosum, which also effects hair, and effects nail and has_symptom inflammatory kerion-like plaques, and results_in_formation_of noninflammatory superficial perifollicular pustules.	dermatophytosis of beard
DOID_0050097	ectothrix infectious disease	A tinea capitis that results_in fungal infection located_in cuticle of hair, has_material_basis_in Microsporum canis, has_material_basis_in Microsporum gypseum, has_material_basis_in Trichophyton equinum, and has_material_basis_in Trichophyton verrucosum, which produce arthroconidia on the exterior of the hair shaft.	
DOID_0050105	endothrix infectious disease	A tinea capitis that results_in fungal infection located_in hair, has_material_basis_in Ascomycota fungi that belong to a group called dermatophytes, which produce arthroconidia within the hair shaft only.	
DOID_0050116	tinea imbricata	A tinea corporis that results_in fungal infection located_in skin, has_material_basis_in Trichophyton concentricum, which is characterized by ring-like growth in overlapping circles that may have an autosomal dominant genetic predisposition.	
DOID_0050117	disease by infectious agent	A disease that is the consequence of the presence of pathogenic microbial agents, including pathogenic viruses, pathogenic bacteria, fungi, protozoa, multicellular parasites, and aberrant proteins known as prions.	infectious disease
DOID_0050118	La Crosse encephalitis	A viral infectious disease that results_in inflammation located_in brain, has_material_basis_in La Crosse virus (Orthobunyavirus lacrosseense), which is primarily transmitted_by treehole mosquito (Ochlerotatus triseriatus) but also Asian tiger mosquito (Aedes albopictus) and Asian bush mosquito (Aedes japonicus). The infection has_symptom seizures, has_symptom headache, has_symptom fever, has_symptom coma, and has_symptom paralysis.	California Encephalitis; California virus encephalitis; Neuroinvasive California encephalitis virus infection
DOID_0050120	hemophagocytic lymphohistiocytosis	A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo, but more often occurs in the setting of another disorder, usually an infection or a malignancy. A clinical picture of fever, hepatosplenomegaly, lymphadenopathy and peripheral pancytopenia. The morphologic hallmark of this syndrome is the phagocytosis of hematopoietic elements by morphologically normal macrophages.	haemophagocytic syndrome
DOID_0050125	dengue shock syndrome	A dengue disease that involves the most severe form of dengue fever, has_material_basis_in Dengue virus (Orthoflavivirus denguei), which are transmitted_by Aedes mosquito bite. The infection has_symptom easy bruising, has_symptom blood spots, has_symptom bleeding gums, and has_symptom nosebleeds. It is accompanied by circulatory collapse, involves hypotension, narrow pulse pressure (less than or equal to 20mm Hg), or frank shock. The shock occurs after two to six days of symptoms, followed by collapse, weak pulse, and blueness around the mouth.	DSS
DOID_0050127	sinusitis	A paranasal sinus disease involving inflammation of the paranasal sinuses resulting from bacterial, fungal, viral infection, allergic or autoimmune issues. Symptoms can include fever, weakness, fatigue, cough and congestion. There may also be mucus drainage in the back of the throat, called postnasal drip.	
DOID_0050129	secretory diarrhea	A diarrhea where there is an increase in the active secretion, or there is an inhibition of absorption causing little to no structural damage. The most common cause of this type of diarrhea is a cholera toxin that stimulates the secretion of anions, especially chloride ions.	
DOID_0050130	osmotic diarrhea	A dirrhea that occurs when too much water is drawn into the bowels. This can be the result of maldigestion (e.g., pancreatic disease or Coeliac disease), in which the nutrients are left in the lumen to pull in water. Osmotic diarrhea can also be caused by osmotic laxatives (which work to alleviate constipation by drawing water into the bowels). In healthy individuals, too much magnesium or vitamin C or undigested lactose can produce osmotic diarrhea and distention of the bowel. A person who does not have lactose intolerance can have difficulty absorbing lactose after an extraordinarily high intake of dairy products.	
DOID_0050131	motility-related diarrhea	A diarrhea which is caused by the rapid movement of food through the intestines (hypermotility). If the food moves too quickly through the GI tract, there is not enough time for sufficient nutrients and water to be absorbed.	
DOID_0050132	inflammatory diarrhea	A gastrointestinal system infectious disease involving diarrhea that occurs when there is damage to the mucosal lining or brush border, which leads to a passive loss of protein-rich fluids, and a decreased ability to absorb these lost fluids. It can be caused by bacterial infections, viral infections, parasitic infections, or autoimmune problems such as inflammatory bowel diseases. It can also be caused by tuberculosis, colon cancer, and enteritis.	
DOID_0050133	superficial mycosis	A fungal infectious disease that results_in infection of the outermost layer located_in skin or located_in hair shaft, has_material_basis_in Fungi. No living tissue is invaded and there is no cellular response from the host.	Steroid-modified tinea infection; piedra
DOID_0050134	cutaneous mycosis	A fungal infectious disease that results_in infection of the keratinized layers located_in skin, located_in hair or located_in nail, which extends deeper into the epidermis, has_material_basis_in Fungi and results_in_formation_of skin lesions.	
DOID_0050135	subcutaneous mycosis	A fungal infectious disease that results_in infection located_in skin or located_in subcutaneous tissue, has_material_basis_in Fungi, which penetrate the dermis or even deeper during or after a skin trauma.	
DOID_0050136	systemic mycosis	A fungal infectious disease that results_in infection of internal organs and tissues located_in human body, has_material_basis_in Fungi, which enter the body via the respiratory tract, through the gut, paranasal sinuses or skin and spread through the bloodstream to multiple organs.	
DOID_0050138	podoconiosis	An elephantiasis that is characterized by lymphadema located_in the lower extremities caused by a genetically determined abnormal inflammatory reaction to mineral particles in irritant red clay soils derived from volcanic deposits.	
DOID_0050140	acute diarrhea	A diarrhea that is of rapid onset and course characterized by frequent loose or liquid bowel movements. Acute diarrhea is a common cause of death in developing countries and the second most common cause of infant deaths worldwide.	
DOID_0050141	intestinal botulism	A botulism that involves intoxication caused by botulinum neurotoxins (BoNTA, B, E and F) in adults, has_material_basis_in Clostridium botulinum A, has_material_basis_in Clostridium botulinum B, has_material_basis_in Clostridium botulinum E and has_material_basis_in Clostridium botulinum F, which are transmitted by ingestion of bacterial spores, which then grow in the intestine and release toxins.	
DOID_0050143	asymptomatic dengue	A dengue disease that results_in infection, has_material_basis_in Dengue virus (Orthoflavivirus denguei), which are transmitted_by Aedes mosquito bite. The infection has no manifestations of symptoms.	
DOID_0050144	Kartagener syndrome	A primary ciliary dyskinesia that is characterized by sinusitis, bronchiectasis and situs inversus with dextrocardia resulting from dysfunction of the cilia during embryologic development.	Kartagener's syndrome
DOID_0050145	adenoiditis	An upper respiratory tract disease which involves inflammation, pain, and swelling of the adenoid tissue due to the infection by bacteria and viruses. It occurs primarily in children and may be secondary to an allergy, infection of nose or throat and an obstruction of the eustachian tube. The infection has symptom pain, has symptom redness, has symptom swelling, and has symptom difficulty swallowing.	chronic adenoiditis
DOID_0050147	otomycosis	An otitis externa which is a disease of the ear produced by the growth of fungi in the external auditory canal. It is characterized by inflammation, pruritus, scaling and severe discomfort. The most common fungi are Aspergillus niger and Candida albicans.	Singapore ear
DOID_0050148	laryngotracheitis	An upper respiratory tract disease involving inflammation of both larynx and trachea often caused by viral infection. The infection can close off the windpipe.	
DOID_0050150	Pontiac fever	A legionellosis that involves a milder respiratory illness without pneumonia. Symptoms include fever, headache and muscle aches which last for 2 to 5 days.	
DOID_0050152	aspiration pneumonia	A bacterial pneumonia which is an acute pulmonary inflammatory response that develops after the inhalation of colonized oropharyngeal material containing bacteria. It is seen in individuals with dysphagia and gastric dysmotility. The disease has_symptom tachypnea and has_symptom cough.	
DOID_0050153	pulmonary aspergilloma	An aspergillosis that presents as a clump of tangled mass of Aspergillus fungus fibres, blood clots, and white blood cells, which exists in the cavities of the lungs that develop in an area of previous lung disease or lung scarring.	
DOID_0050155	sensory system disease	A nervous system disease which is located in a part of the nervous system responsible for processing sensory information that consists of sensory receptors, neural pathways, and parts of the brain involved in sensory perception. Commonly recognized sensory systems are those for vision, hearing, somatic sensation (touch), taste and olfaction (smell).	
DOID_0050156	idiopathic pulmonary fibrosis	A pulmonary fibrosis that is characterized by scarring of the lung characterized by stiffness in the lungs and makes it difficult to breathe.	FIBROCYSTIC PULMONARY DYSPLASIA; IDIOPATHIC PULMONARY FIBROSIS, FAMILIAL; cryptogenic fibrosing alveolitis
DOID_0050157	cryptogenic organizing pneumonia	An idiopathic interstitial pneumonia characterized by lung inflammation and scarring that obstructs the small airways and air sacs of the lungs (alveoli). A flu-like illness, with a cough, fever, a feeling of illness (malaise), fatigue, and weight loss, heralds the onset in about 50% of people. Frequent presence of crackling sounds (called Velcro crackles) when the doctor listens with a stethoscope.	BOOP; Cryptogenic organising pneumonitis; Cryptogenic organizing pneumonitis; bronchiolitis obliterans organising pneumonia; bronchiolitis obliterans organizing pneumonia; cryptogenic organising pneumonia; idiopathic bronchiolitis obliterans with organising pneumonia; idiopathic bronchiolitis obliterans with organizing pneumonia
DOID_0050158	desquamative interstitial pneumonia	An idiopathic interstitial pneumonia that is characterized by the accumulation of bronchiolocentric alveolar macrophages in alveolar spaces and interstitial inflammation and involves mild bronchiolar fibrosis and chronic inflammation.	RBILD; familial desquamative interstitial pneumonitis; respiratory bronchiolitis-associated interstitial lung disease
DOID_0050159	lymphoid interstitial pneumonia	An idiopathic interstitial pneumonia which involves diffuse interstitial infiltration of involved areas mostly with T lymphocytes, plasma cells, and macrophages. Lymphoid hyperplasia is frequently seen. Onset is often slow with gradually increasing cough and breathlessness over 3 or more years. Fever, weight loss, chest pain, and arthralgia are occasionally found. Crackles may be detected as the disease progresses.	
DOID_0050160	inhalation anthrax	An anthrax disease that results in infection located in lung lymph nodes brought on by breathing in the spores of the bacteria Bacillus anthracis. The first symptoms of inhalation anthrax are like cold or flu symptoms and can include a sore throat, mild fever and muscle aches. Later symptoms include cough, chest discomfort, shortness of breath, tiredness and muscle aches.	pulmonary anthrax; respiratory anthrax; wool-sorters' disease; woolsorters' disease
DOID_0050161	lower respiratory tract disease	A respiratory system disease which involves the lower respiratory tract.	
DOID_0050166	tuberculous salpingitis	An urogenital tuberculosis that results_in formation of granulomas located_in fallopian tube.	
DOID_0050167	autoimmune polyendocrine syndrome type 1	An autoimmune polyendocrine syndrome that is inherited in an autosomal recessive fashion, which is characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs.	Autoimmune Polyglandular Syndrome I; Whitaker syndrome; autoimmune polyendocrinopathy-candidiasis-ectodermal dystrophy
